Sugar fed post exposure study,,,,,,,,,,,,,,,,,,,,,,,,,,,
chemical : Transfluthrin,,,Dose: 50% field application (0.675 mg/m3),,,,Species:Aedes aegypti ,,,,,Condition: sugar fed,,,Room Temp./RH : 80F/75%,,,,,,,,,,,,
,,,,,,,Strain: Thai F5,,,,,,,,,,,,,,,,,,,,
,# remaining in control (clear chamber) after exposure,,,,,,,,,,# remaining in treatment  (clear chamber) after exposure,,,,,,,,,,,,,,,,
Time (day),1,2,3,4,5,6,total,%,average,,1,2,3,4,5,6,total,%,average,120,,,,,,,
0,20,20,20,20,20,21,121,100.0%,20.17,,20,20,20,20,20,20,120,100.0%,20.00,,,,,,,,
1,20,20,20,19,20,21,120,99.2%,20.00,,20,20,20,18,20,20,118,98.3%,19.67,,,,,,,,
2,20,20,20,19,20,21,120,99.2%,20.00,,19,20,20,18,20,19,116,96.7%,19.33,,,,,,,,
3,20,20,20,19,20,21,120,99.2%,20.00,,19,20,20,18,19,19,115,95.8%,19.17,,,,,,,,
4,20,19,20,19,20,20,118,97.5%,19.67,,19,19,20,18,19,18,113,94.2%,18.83,,,,,,,,
5,20,19,20,19,20,20,118,97.5%,19.67,,19,19,19,18,19,18,112,93.3%,18.67,,,,,,,,
6,18,19,20,19,20,20,116,95.9%,19.33,,19,19,19,18,19,18,112,93.3%,18.67,,,,,,,,
7,18,18,19,19,20,20,114,94.2%,19.00,,19,19,19,18,19,18,112,93.3%,18.67,,,,,,,,
8,18,18,17,19,20,18,110,90.9%,18.33,,18,18,18,17,18,18,107,89.2%,17.83,,,,,,,,
9,18,18,17,17,18,18,106,87.6%,17.67,,17,18,18,17,18,17,105,87.5%,17.50,,,,,,,,
10,17,18,17,17,18,18,105,86.8%,17.50,,16,17,17,16,18,16,100,83.3%,16.67,,,,,,,,
11,17,17,16,17,16,17,100,82.6%,16.67,,16,17,17,16,17,16,99,82.5%,16.50,,,,,,,,
12,17,17,16,16,16,17,99,81.8%,16.50,,16,15,16,16,16,15,94,78.3%,15.67,,,,,,,,
13,17,15,16,15,16,17,96,79.3%,16.00,,15,15,15,16,16,15,92,76.7%,15.33,,,,,,,,
14,15,13,16,14,15,14,87,71.9%,14.50,,15,15,15,16,16,15,92,76.7%,15.33,,,,,,,,
15,15,13,13,14,14,14,83,68.6%,13.83,,15,13,15,15,15,15,88,73.3%,14.67,,,,,,,,
16,15,12,13,14,14,14,82,67.8%,13.67,,15,13,15,15,14,14,86,71.7%,14.33,,,,,,,,
17,13,10,11,13,14,14,75,62.0%,12.50,,13,11,14,14,13,12,77,64.2%,12.83,,,,,,,,
18,13,10,11,9,10,14,67,55.4%,11.17,,12,11,13,12,13,12,73,60.8%,12.17,,,,,,,,
