Sugar fed post exposure study,,,,,,,,,,,,,,,,,,,,
chemical : Transfluthrin,,,Dose: 75% field application (1.01 mg/m3),,,,Species:Aedes aegypti ,,,,,Condition: sugar fed,,,Room Temp./RH : 79F/74%,,,,,
,,,,,,,Strain: Thai F5,,,,,,,,,,,,,
,# remaining in control (clear chamber) after exposure,,,,,,,,,,# remaining in treatment  (clear chamber) after exposure,,,,,,,,,
Time (day),1,2,3,4,5,6,total,%,average,,1,2,3,4,5,6,total,%,average,119
0,19,20,20,18,20,20,117,100.0%,19.50,,20,19,20,21,20,19,119,100.0%,19.83,
1,19,20,20,18,20,20,117,100.0%,19.50,,20,19,20,21,20,19,119,100.0%,19.83,
2,19,20,20,18,20,20,117,100.0%,19.50,,20,19,20,21,20,19,119,100.0%,19.83,
3,19,20,20,18,19,20,116,99.1%,19.33,,20,19,20,21,20,19,119,100.0%,19.83,
4,19,19,20,18,19,18,113,96.6%,18.83,,17,19,20,20,19,17,112,94.1%,18.67,
5,19,19,20,18,19,18,113,96.6%,18.83,,16,18,20,20,19,17,110,92.4%,18.33,
6,19,19,20,18,19,18,113,96.6%,18.83,,16,18,20,20,19,17,110,92.4%,18.33,
7,19,19,20,18,19,18,113,96.6%,18.83,,16,18,20,18,18,17,107,89.9%,17.83,
8,18,18,18,17,18,18,107,91.5%,17.83,,16,18,17,18,18,17,104,87.4%,17.33,
9,18,18,18,17,18,17,106,90.6%,17.67,,16,18,17,18,18,17,104,87.4%,17.33,
10,16,17,17,16,18,16,100,85.5%,16.67,,14,18,13,18,15,16,94,79.0%,15.67,
11,16,17,17,16,18,16,100,85.5%,16.67,,14,17,13,17,14,15,90,75.6%,15.00,
12,16,15,15,16,16,15,93,79.5%,15.50,,14,17,13,17,14,15,90,75.6%,15.00,
13,16,15,15,16,16,15,93,79.5%,15.50,,10,15,13,14,14,12,78,65.5%,13.00,
14,16,15,15,16,16,15,93,79.5%,15.50,,8,13,13,14,14,10,72,60.5%,12.00,
15,15,13,15,16,16,15,90,76.9%,15.00,,8,13,13,14,14,10,72,60.5%,12.00,
16,15,13,15,16,16,14,89,76.1%,14.83,,8,12,13,14,11,7,65,54.6%,10.83,
17,13,11,14,14,13,12,77,65.8%,12.83,,7,10,11,13,9,7,57,47.9%,9.50,
18,12,11,13,12,13,12,73,62.4%,12.17,,4,10,9,10,9,7,49,41.2%,8.17,
19,12,11,13,12,11,10,69,59.0%,11.50,,1,6,6,5,5,3,26,21.8%,4.33,
20,11,9,12,12,11,10,65,55.6%,10.83,,0,5,6,4,5,3,23,19.3%,3.83,
21,10,7,11,11,9,8,56,47.9%,9.33,,0,2,5,1,5,1,14,11.8%,2.33,
22,5,6,7,8,6,5,37,31.6%,6.17,,0,2,5,1,5,1,14,11.8%,2.33,
23,3,1,5,7,4,5,25,21.4%,4.17,,0,0,2,0,4,0,6,5.0%,1.00,
24,1,0,3,4,2,4,14,12.0%,2.33,,0,0,1,0,1,0,2,1.7%,0.33,
25,1,0,1,3,2,2,9,7.7%,1.50,,0,0,0,0,0,0,0,0.0%,0.00,
26,1,0,1,2,0,2,6,5.1%,1.00,,0,0,0,0,0,0,0,0.0%,0.00,
27,1,0,1,2,0,2,6,5.1%,1.00,,0,0,0,0,0,0,0,0.0%,0.00,
28,0,0,0,0,0,1,1,0.9%,0.17,,0,0,0,0,0,0,0,0.0%,0.00,
29,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
30,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
31,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
32,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
33,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
34,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
35,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
36,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
37,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
38,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
39,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
40,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,control,,,,,,,treatment,,,,,,,,,,,,
,1,2,3,4,5,6,total,1,2,3,4,5,6,total,,,,,,
# Release in CIA (clear chamber),19,20,20,18,20,20,117,20,19,20,21,20,19,119,,,,,,
# KD / Metal chamber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
