Sugar fed post exposure study,,,,,,,,,,,,,,,,,,,,
chemical : Transfluthrin,,,Dose: 1.25 x field application (1.69 mg/m3),,,,Species:Aedes aegypti ,,,,,Condition: sugar fed,,,Room Temp./RH : 79F/75%,,,,,
,,,,,,,Strain: Thai F5,,,,,,,,,,,,,
,# remaining in control (clear chamber) after exposure,,,,,,,,,,# remaining in treatment  (clear chamber) after exposure,,,,,,,,,
Time (day),1,2,3,4,5,6,total,%,average,,1,2,3,4,5,6,total,%,average,121
0,20,20,20,20,20,20,120,100.0%,20.00,,17,15,16,16,14,17,95,78.5%,15.83,
1,20,20,20,20,20,20,120,100.0%,20.00,,17,15,15,16,14,17,94,77.7%,15.67,
2,20,19,20,20,20,20,119,99.2%,19.83,,17,15,15,15,14,17,93,76.9%,15.50,
3,20,19,20,20,20,20,119,99.2%,19.83,,17,14,13,15,14,17,90,74.4%,15.00,
4,20,19,20,20,20,20,119,99.2%,19.83,,17,14,13,15,14,15,88,72.7%,14.67,
5,19,19,20,19,19,20,116,96.7%,19.33,,15,14,13,15,14,15,86,71.1%,14.33,
6,19,19,19,19,19,18,113,94.2%,18.83,,15,14,13,10,10,15,77,63.6%,12.83,
7,18,19,19,18,19,18,111,92.5%,18.50,,15,10,13,10,10,15,73,60.3%,12.17,
8,18,17,15,18,17,16,101,84.2%,16.83,,11,10,8,10,10,11,60,49.6%,10.00,
9,18,17,15,18,17,16,101,84.2%,16.83,,9,9,7,9,8,11,53,43.8%,8.83,
10,17,17,14,18,15,15,96,80.0%,16.00,,9,9,7,9,8,11,53,43.8%,8.83,
11,16,17,14,18,14,15,94,78.3%,15.67,,9,9,7,8,7,11,51,42.1%,8.50,
12,15,15,14,16,14,15,89,74.2%,14.83,,9,8,7,8,7,11,50,41.3%,8.33,
13,15,15,14,16,13,15,88,73.3%,14.67,,8,8,5,5,7,10,43,35.5%,7.17,
14,14,15,14,16,13,14,86,71.7%,14.33,,8,6,5,5,7,10,41,33.9%,6.83,
15,13,14,14,15,13,12,81,67.5%,13.50,,6,6,3,5,7,5,32,26.4%,5.33,
16,12,14,13,14,12,12,77,64.2%,12.83,,6,6,3,5,6,5,31,25.6%,5.17,
17,10,13,12,13,11,12,71,59.2%,11.83,,6,3,3,5,6,2,25,20.7%,4.17,
18,10,11,12,12,11,11,67,55.8%,11.17,,6,3,3,5,6,2,25,20.7%,4.17,
19,9,11,12,12,10,10,64,53.3%,10.67,,6,2,2,2,6,2,20,16.5%,3.33,
20,9,11,12,12,10,10,64,53.3%,10.67,,2,1,2,2,6,2,15,12.4%,2.50,
21,7,11,11,11,10,9,59,49.2%,9.83,,2,1,0,2,6,1,12,9.9%,2.00,
22,6,10,11,10,7,9,53,44.2%,8.83,,1,0,0,1,3,1,6,5.0%,1.00,
23,4,5,7,8,6,9,39,32.5%,6.50,,1,0,0,1,3,1,6,5.0%,1.00,
24,3,2,6,5,6,5,27,22.5%,4.50,,0,0,0,1,2,1,4,3.3%,0.67,
25,2,2,3,4,3,3,17,14.2%,2.83,,0,0,0,1,1,0,2,1.7%,0.33,
26,2,1,2,1,1,1,8,6.7%,1.33,,0,0,0,0,1,0,1,0.8%,0.17,
27,1,1,2,1,1,1,7,5.8%,1.17,,0,0,0,0,0,0,0,0.0%,0.00,
28,1,1,2,1,0,1,6,5.0%,1.00,,0,0,0,0,0,0,0,0.0%,0.00,
29,0,0,1,0,0,1,2,1.7%,0.33,,0,0,0,0,0,0,0,0.0%,0.00,
30,0,0,1,0,0,1,2,1.7%,0.33,,0,0,0,0,0,0,0,0.0%,0.00,
31,0,0,0,0,0,1,1,0.8%,0.17,,0,0,0,0,0,0,0,0.0%,0.00,
32,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
33,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
34,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
35,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
36,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
37,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
38,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
39,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
40,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,control,,,,,,,treatment,,,,,,,,,,,,
,1,2,3,4,5,6,total,1,2,3,4,5,6,total,,,,,,
# Release in CIA (clear chamber),20,20,20,20,20,20,120,21,20,20,20,20,20,121,,,,,,
# KD / Metal chamber,0,0,0,0,0,0,0,4,5,4,4,6,3,26,,,,,,
