Sugar fed post exposure study,,,,,,,,,,,,,,,,,,,,
chemical : Transfluthrin,,,Dose:1.5 x field application (2.02 mg/m3),,,,Species:Aedes aegypti ,,,,,Condition: sugar fed,,,Room Temp./RH : 79F/74%,,,,,
,,,,,,,Strain: Thai F5,,,,,,,,,,,,,
,# remaining in control (clear chamber) after exposure,,,,,,,,,,# remaining in treatment  (clear chamber) after exposure,,,,,,,,,
Time (day),1,2,3,4,5,6,total,%,average,,1,2,3,4,5,6,total,%,average,120
0,21,20,21,20,20,20,122,100.0%,20.33,,14,13,15,13,17,14,86,71.7%,14.33,
1,21,20,21,20,20,20,122,100.0%,20.33,,13,11,10,13,13,14,74,61.7%,12.33,
2,21,19,21,20,20,20,121,99.2%,20.17,,10,11,10,9,13,14,67,55.8%,11.17,
3,20,19,21,20,20,19,119,97.5%,19.83,,10,11,10,9,13,14,67,55.8%,11.17,
4,20,19,20,19,20,19,117,95.9%,19.50,,10,11,10,9,13,14,67,55.8%,11.17,
5,20,19,20,19,19,19,116,95.1%,19.33,,10,11,10,8,10,13,62,51.7%,10.33,
6,20,19,19,19,19,18,114,93.4%,19.00,,10,9,10,7,10,13,59,49.2%,9.83,
7,18,18,19,18,19,18,110,90.2%,18.33,,7,8,8,6,9,13,51,42.5%,8.50,
8,18,18,18,18,19,16,107,87.7%,17.83,,7,8,8,6,9,13,51,42.5%,8.50,
9,18,17,18,18,18,16,105,86.1%,17.50,,7,8,6,6,9,13,49,40.8%,8.17,
10,17,17,17,18,18,16,103,84.4%,17.17,,3,8,6,6,6,13,42,35.0%,7.00,
11,16,17,17,17,18,16,101,82.8%,16.83,,3,8,2,6,2,7,28,23.3%,4.67,
12,15,16,16,17,16,16,96,78.7%,16.00,,3,8,2,6,2,3,24,20.0%,4.00,
13,14,15,16,17,16,16,94,77.0%,15.67,,3,7,2,6,2,3,23,19.2%,3.83,
14,12,15,14,16,14,15,86,70.5%,14.33,,3,6,2,6,2,3,22,18.3%,3.67,
15,10,11,14,15,14,13,77,63.1%,12.83,,3,6,1,4,2,5,21,17.5%,3.50,
16,10,11,13,15,14,13,76,62.3%,12.67,,3,4,1,1,1,5,15,12.5%,2.50,
17,5,11,12,15,10,13,66,54.1%,11.00,,3,3,1,1,1,2,11,9.2%,1.83,
18,5,6,12,13,10,13,59,48.4%,9.83,,3,1,1,1,1,2,9,7.5%,1.50,
19,5,6,9,12,10,11,53,43.4%,8.83,,3,1,0,1,1,2,8,6.7%,1.33,
20,5,6,9,12,10,10,52,42.6%,8.67,,3,1,0,1,1,2,8,6.7%,1.33,
21,5,6,9,10,10,10,50,41.0%,8.33,,1,0,0,1,0,1,3,2.5%,0.50,
22,5,6,9,10,9,10,49,40.2%,8.17,,1,0,0,1,0,1,3,2.5%,0.50,
23,4,4,9,8,9,10,44,36.1%,7.33,,0,0,0,0,0,1,1,0.8%,0.17,
24,3,3,8,7,7,8,36,29.5%,6.00,,0,0,0,0,0,0,0,0.0%,0.00,
25,2,1,7,7,6,6,29,23.8%,4.83,,0,0,0,0,0,0,0,0.0%,0.00,
26,2,1,7,4,6,6,26,21.3%,4.33,,0,0,0,0,0,0,0,0.0%,0.00,
27,1,1,6,4,3,6,21,17.2%,3.50,,0,0,0,0,0,0,0,0.0%,0.00,
28,1,0,4,2,3,2,12,9.8%,2.00,,0,0,0,0,0,0,0,0.0%,0.00,
29,0,0,2,1,2,2,7,5.7%,1.17,,0,0,0,0,0,0,0,0.0%,0.00,
30,0,0,2,1,1,2,6,4.9%,1.00,,0,0,0,0,0,0,0,0.0%,0.00,
31,0,0,2,1,1,1,5,4.1%,0.83,,0,0,0,0,0,0,0,0.0%,0.00,
32,0,0,1,0,0,1,2,1.6%,0.33,,0,0,0,0,0,0,0,0.0%,0.00,
33,0,0,1,0,0,1,2,1.6%,0.33,,0,0,0,0,0,0,0,0.0%,0.00,
34,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
35,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
36,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
37,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
38,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
39,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
40,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,control,,,,,,,treatment,,,,,,,,,,,,
,1,2,3,4,5,6,total,1,2,3,4,5,6,total,,,,,,
# Release in CIA (clear chamber),21,20,21,20,20,20,122,20,20,20,20,20,20,120,,,,,,
# KD / Metal chamber,0,0,0,0,0,0,0,6,7,5,7,3,6,34,,,,,,
