Sugar fed post exposure study,,,,,,,,,,,,,,,,,,,,
chemical : Transfluthrin,,,Dose: field application (1.31 mg/m3),,,,Species:Aedes aegypti ,,,,,Condition: sugar fed,,,Room Temp./RH : 80F/75%,,,,,
,,,,,,,Strain: Thai F5,,,,,,,,,,,,,
,# remaining in control (clear chamber) after exposure,,,,,,,,,,# remaining in treatment  (clear chamber) after exposure,,,,,,,,,
Time (day),1,2,3,4,5,6,total,%,average,,1,2,3,4,5,6,total,%,average,121
0,20,20,20,20,20,20,120,100.0%,20.00,,19,17,16,18,17,19,106,87.6%,17.67,
1,20,20,20,20,20,20,120,100.0%,20.00,,19,17,16,18,17,19,106,87.6%,17.67,
2,20,19,20,20,20,20,119,99.2%,19.83,,17,16,16,17,17,19,102,84.3%,17.00,
3,20,19,20,20,20,20,119,99.2%,19.83,,17,16,16,17,17,19,102,84.3%,17.00,
4,20,19,20,20,20,20,119,99.2%,19.83,,17,16,16,17,17,19,102,84.3%,17.00,
5,20,19,20,19,19,20,117,97.5%,19.50,,15,16,14,17,15,17,94,77.7%,15.67,
6,20,19,20,19,19,20,117,97.5%,19.50,,15,16,14,17,15,17,94,77.7%,15.67,
7,18,19,19,18,19,20,113,94.2%,18.83,,15,16,14,17,15,17,94,77.7%,15.67,
8,18,17,15,18,17,16,101,84.2%,16.83,,15,16,14,17,15,17,94,77.7%,15.67,
9,18,17,15,18,17,16,101,84.2%,16.83,,15,14,14,16,15,17,91,75.2%,15.17,
10,16,17,14,18,14,15,94,78.3%,15.67,,14,14,13,16,14,15,86,71.1%,14.33,
11,16,17,14,18,14,15,94,78.3%,15.67,,14,14,13,16,14,15,86,71.1%,14.33,
12,15,15,14,16,13,15,88,73.3%,14.67,,12,14,13,16,14,15,84,69.4%,14.00,
13,15,15,14,16,13,15,88,73.3%,14.67,,11,12,12,15,13,14,77,63.6%,12.83,
14,14,15,14,16,13,14,86,71.7%,14.33,,7,6,7,10,9,9,48,39.7%,8.00,
15,13,15,14,15,13,12,82,68.3%,13.67,,5,6,4,7,8,5,35,28.9%,5.83,
16,12,15,14,14,12,12,79,65.8%,13.17,,4,6,4,7,8,5,34,28.1%,5.67,
17,10,13,12,13,11,12,71,59.2%,11.83,,3,4,4,3,7,3,24,19.8%,4.00,
18,10,11,12,12,11,11,67,55.8%,11.17,,3,4,4,3,6,2,22,18.2%,3.67,
19,9,11,12,12,11,10,65,54.2%,10.83,,3,2,4,1,6,0,16,13.2%,2.67,
20,9,11,12,12,11,10,65,54.2%,10.83,,1,0,2,1,3,0,7,5.8%,1.17,
21,7,11,11,11,9,9,58,48.3%,9.67,,1,0,0,1,1,0,3,2.5%,0.50,
22,6,10,11,10,7,9,53,44.2%,8.83,,1,0,0,0,1,0,2,1.7%,0.33,
23,6,5,7,8,5,7,38,31.7%,6.33,,0,0,0,0,1,0,1,0.8%,0.17,
24,3,3,6,5,2,5,24,20.0%,4.00,,0,0,0,0,0,0,0,0.0%,0.00,
25,2,1,3,4,0,3,13,10.8%,2.17,,0,0,0,0,0,0,0,0.0%,0.00,
26,2,0,2,1,0,1,6,5.0%,1.00,,0,0,0,0,0,0,0,0.0%,0.00,
27,0,0,2,1,0,1,4,3.3%,0.67,,0,0,0,0,0,0,0,0.0%,0.00,
28,0,0,2,1,0,1,4,3.3%,0.67,,0,0,0,0,0,0,0,0.0%,0.00,
29,0,0,1,0,0,1,2,1.7%,0.33,,0,0,0,0,0,0,0,0.0%,0.00,
30,0,0,1,0,0,1,2,1.7%,0.33,,0,0,0,0,0,0,0,0.0%,0.00,
31,0,0,0,0,0,1,1,0.8%,0.17,,0,0,0,0,0,0,0,0.0%,0.00,
32,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
33,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
34,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
35,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
36,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
37,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
38,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
39,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
40,0,0,0,0,0,0,0,0.0%,0.00,,0,0,0,0,0,0,0,0.0%,0.00,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,control,,,,,,,treatment,,,,,,,,,,,,
,1,2,3,4,5,6,total,1,2,3,4,5,6,total,,,,,,
# Release in CIA (clear chamber),20,19,20,20,20,20,119,21,20,20,20,20,20,121,,,,,,
# KD / Metal chamber,0,0,0,0,0,0,0,6,4,6,3,5,3,27,,,,,,
