Full_Bloodfed,Partial_Bloodfed,Non_Bloodfed,Initial,Dose,Time,Bloodfed
72,8,45,125,0,0,80
74,15,36,125,1,0,89
41,9,75,125,0,1,50
17,5,103,125,1,1,22
56,13,56,125,0,3,69
25,10,90,125,1,3,35
57,10,58,125,0,6,67
29,21,75,125,1,6,50
62,12,51,125,0,12,74
45,19,61,125,1,12,64
59,9,57,125,0,24,68
53,24,48,125,1,24,77
72,8,45,125,0,48,80
74,15,36,125,1,48,89
52,20,53,125,0,0,72
10,5,110,125,1.5,0,15
57,16,52,125,0,1,73
14,7,104,125,1.5,1,21
49,12,64,125,0,3,61
27,16,82,125,1.5,3,43
55,16,54,125,0,6,71
28,23,74,125,1.5,6,51
58,15,52,125,0,12,73
42,22,61,125,1.5,12,64
72,19,34,125,0,24,91
64,29,32,125,1.5,24,93
80,16,29,125,0,48,96
77,22,26,125,1.5,48,99
